lat,lon,2017/08/16,
35.208336,261.83334,54.493282, 
35.208336,261.875,54.28991, 
35.208336,261.91666,54.069, 
35.208336,261.95834,53.453663, 
35.208336,262.0,52.340218, 
35.208336,262.04166,51.192997, 
35.208336,262.08334,49.34695, 
35.208336,262.125,48.127308, 
35.208336,262.16666,49.175385, 
35.208336,262.20834,52.013794, 
35.208336,262.25,54.46553, 
35.208336,262.29166,56.01737, 
35.208336,262.33334,57.08198, 
35.208336,262.375,57.855083, 
35.208336,262.41666,58.807056, 
35.208336,262.45834,59.66477, 
35.208336,262.5,60.645206, 
35.208336,262.54166,61.331257, 
35.208336,262.58334,62.32735, 
35.208336,262.625,61.981266, 
35.208336,262.66666,61.75122, 
35.208336,262.70834,61.229515, 
35.208336,262.75,60.648403, 
35.208336,262.79166,60.12082, 
35.208336,262.83334,59.379787, 
35.208336,262.875,58.919144, 
35.208336,262.91666,58.6602, 
35.208336,262.95834,59.159927, 
35.208336,263.0,59.732903, 
35.208336,263.04166,60.189194, 
35.208336,263.08334,60.804035, 
35.208336,263.125,61.588726, 
35.208336,263.16666,62.269104, 
35.208336,263.20834,62.958725, 
35.208336,263.25,63.554035, 
35.208336,263.29166,63.955814, 
35.208336,263.33334,64.647285, 
35.208336,263.375,65.02212, 
35.208336,263.41666,65.25255, 
35.208336,263.45834,65.79794, 
35.208336,263.5,65.87234, 
35.208336,263.54166,65.79625, 
35.208336,263.58334,65.2419, 
35.208336,263.625,64.67004, 
35.208336,263.66666,64.24617, 
35.208336,263.70834,64.35903, 
35.208336,263.75,63.78666, 
35.208336,263.79166,63.71954, 
35.208336,263.83334,64.36465, 
35.208336,263.875,64.95859, 
35.208336,263.91666,65.50163, 
35.208336,263.95834,66.24722, 
35.208336,264.0,66.87249, 
35.208336,264.04166,67.21411, 
35.208336,264.08334,67.62937, 
35.208336,264.125,67.91215, 
35.208336,264.16666,68.02097, 
35.208336,264.20834,68.11554, 
35.208336,264.25,68.353165, 
35.208336,264.29166,68.690506, 
35.208336,264.33334,69.221214, 
35.208336,264.375,69.65816, 
35.208336,264.41666,70.16084, 
35.208336,264.45834,70.24426, 
35.208336,264.5,70.316376, 
35.208336,264.54166,70.23582, 
35.208336,264.58334,70.2569, 
35.208336,264.625,69.93969, 
35.208336,264.66666,69.81089, 
35.208336,264.70834,69.60995, 
35.208336,264.75,69.149826, 
35.208336,264.79166,69.486145, 
35.208336,264.83334,70.97743, 
35.208336,264.875,71.84333, 
35.208336,264.91666,71.83308, 
35.208336,264.95834,71.54522, 
35.208336,265.0,71.22766, 
35.25,260.0,53.51431, 
35.25,260.04166,53.2811, 
35.25,260.08334,53.362938, 
35.25,260.125,53.08276, 
35.25,260.16666,52.77752, 
35.25,260.20834,52.19366, 
35.25,260.25,51.347984, 
35.25,260.29166,50.20557, 
35.25,260.33334,49.048428, 
35.25,260.375,48.560135, 
35.25,260.41666,48.502285, 
35.25,260.45834,49.167274, 
35.25,260.5,50.290985, 
35.25,260.54166,50.641827, 
35.25,260.58334,51.00223, 
35.25,260.625,51.573315, 
35.25,260.66666,51.735764, 
35.25,260.70834,52.02383, 
35.25,260.75,52.397194, 
35.25,260.79166,52.725903, 
35.25,260.83334,52.96101, 
35.25,260.875,53.263165, 
35.25,260.91666,53.390755, 
35.25,260.95834,53.033207, 
35.25,261.0,52.826904, 
35.25,261.04166,52.88655, 
35.25,261.08334,52.97369, 
35.25,261.125,52.648663, 
35.25,261.16666,52.240234, 
35.25,261.20834,52.061962, 
35.25,261.25,52.12091, 
35.25,261.29166,52.10221, 
35.25,261.33334,52.003174, 
35.25,261.375,51.91964, 
35.25,261.41666,51.62679, 
35.25,261.45834,51.71726, 
35.25,261.5,52.070568, 
35.25,261.54166,52.407658, 
35.25,261.58334,52.997078, 
35.25,261.625,53.2285, 
35.25,261.66666,53.722904, 
35.25,261.70834,53.88315, 
35.25,261.75,54.27858, 
35.25,261.79166,54.643005, 
35.25,261.83334,54.76557, 
35.25,261.875,54.902466, 
35.25,261.91666,54.937843, 
35.25,261.95834,54.752148, 
35.25,262.0,54.224983, 
35.25,262.04166,53.778744, 
35.25,262.08334,53.08549, 
35.25,262.125,52.338768, 
35.25,262.16666,53.001225, 
35.25,262.20834,54.063038, 
35.25,262.25,55.450745, 
35.25,262.29166,56.550026, 
35.25,262.33334,57.60759, 
35.25,262.375,58.341274, 
35.25,262.41666,59.031265, 
35.25,262.45834,59.77703, 
35.25,262.5,60.58831, 
35.25,262.54166,61.08322, 
35.25,262.58334,61.80491, 
35.25,262.625,62.06835, 
35.25,262.66666,61.67981, 
35.25,262.70834,61.269295, 
35.25,262.75,60.865944, 
35.25,262.79166,60.537132, 
35.25,262.83334,60.351673, 
35.25,262.875,60.11573, 
35.25,262.91666,59.944714, 
35.25,262.95834,59.9173, 
35.25,263.0,60.383884, 
35.25,263.04166,60.778572, 
